url,name,brand,price,currency,availability,sku,rating_value,review_count
https://www.ikea.com/us/en/p/aengsjoen-orrsjoen-bathroom-vanity-with-sink-faucets-high-gloss-white-s49530734/,"ÄNGSJÖN / ORRSJÖN Bathroom vanity with sink & faucets - high gloss white 37 1/8x21 3/4x27 5/8 """,IKEA,709,USD,InStock,N/A,5,1
https://www.ikea.com/us/en/p/aengsjoen-orrsjoen-bathroom-vanity-with-sink-faucets-oak-effect-s19530735/,"ÄNGSJÖN / ORRSJÖN Bathroom vanity with sink & faucets - oak effect 37 1/8x21 3/4x27 5/8 """,IKEA,679,USD,InStock,N/A,5,1
https://www.ikea.com/us/en/p/aengsjoen-wall-cabinet-with-door-brown-oak-effect-10535313/,"ÄNGSJÖN Wall cabinet with door - brown oak effect 18x6x37 """,IKEA,159,USD,InStock,N/A,4.8,31
https://www.ikea.com/us/en/p/aengsjoen-wall-cabinet-with-door-high-gloss-white-30535307/,"ÄNGSJÖN Wall cabinet with door - high gloss white 18x6x37 """,IKEA,169,USD,InStock,N/A,4.8,31
https://www.ikea.com/us/en/p/aengsjoen-wall-cabinet-with-door-oak-effect-70535310/,"ÄNGSJÖN Wall cabinet with door - oak effect 18x6x37 """,IKEA,159,USD,InStock,N/A,4.8,31
https://www.ikea.com/us/en/p/aengskorn-mattress-protector-00462010/,ÄNGSKORN Mattress protector Queen,IKEA,39.99,USD,InStock,N/A,4.3,1354
https://www.ikea.com/us/en/p/aengskorn-pillow-protector-40462032/,ÄNGSKORN Pillow protector Queen,IKEA,9.99,USD,InStock,N/A,4.6,828
https://www.ikea.com/us/en/p/aengslilja-duvet-cover-and-pillowcase-s-blue-gray-00585228/,ÄNGSLILJA Duvet cover and pillowcase(s) - blue-gray Twin,IKEA,N/A,USD,N/A,N/A,4.2,1388
https://www.ikea.com/us/en/p/aengslilja-duvet-cover-and-pillowcase-s-natural-10591988/,ÄNGSLILJA Duvet cover and pillowcase(s) - natural King,IKEA,N/A,USD,N/A,N/A,4.2,1390
https://www.ikea.com/us/en/p/aengslilja-pillowcase-blue-gray-00592040/,ÄNGSLILJA Pillowcase - blue-gray Queen,IKEA,7.99,USD,InStock,N/A,4.4,115
